address_full,number,street,city,state,zip,longitude,latitude,statefp,countyfp,tractce,blkgrpce,median_cleaning_price,median_household_income_17-21,seniorcare_median_price,median_line_price,petcare_median_price,spclneeds_median_price,single_child_living_wage,single_nochild_living_wage,couple_child_living_wage,seniorcare_median_hours,spclneeds_median_hours
"748 DUNKIRK DETROIT, MI 48217 ",748,DUNKIRK,DETROIT,MI,48217,-83.150601,42.286192,26,163,524500,2,27.87,18750.0,21.75,25.8,17.5,20.0,37.22,20.42,20.89,30.0,23.0
"1558 CALVERT DETROIT, MI 48206 ",1558,CALVERT,DETROIT,MI,48206,-83.100993,42.384252,26,163,531900,1,30.97,27197.0,23.0,28.38,17.5,20.0,37.22,20.42,20.89,30.0,21.75
"8083 NORMILE DETROIT, MI 48204 ",8083,NORMILE,DETROIT,MI,48204,-83.158999,42.35295,26,163,535600,4,27.87,36571.0,22.5,30.97,17.5,20.0,37.22,20.42,20.89,29.25,22.5
"4054 RICHTON DETROIT, MI 48204 ",4054,RICHTON,DETROIT,MI,48204,-83.130003,42.381745,26,163,530900,2,30.97,53333.0,22.5,28.9,17.5,20.0,37.22,20.42,20.89,29.25,22.5
"8317 PENROD DETROIT, MI 48228 ",8317,PENROD,DETROIT,MI,48228,-83.220193,42.354021,26,163,546000,2,27.87,23315.0,22.5,28.9,17.5,19.25,37.22,20.42,20.89,30.0,22.5
"5286 ALLENDALE DETROIT, MI ",5286,ALLENDALE,DETROIT,MI,48204,-83.124704,42.354423,26,163,533600,2,30.97,27857.0,22.5,30.97,17.5,20.0,37.22,20.42,20.89,29.25,22.5
"18422 KELLY RD DETROIT, MI 48224 ",18422,KELLY RD,DETROIT,MI,48224,-82.956106,42.429932,26,163,500700,4,35.1,47466.0,22.5,29.42,17.75,20.0,37.22,20.42,20.89,30.0,25.0
"6238 LINWOOD DETROIT, MI 48208 ",6238,LINWOOD,DETROIT,MI,48208,-83.098017,42.358668,26,163,522300,2,30.97,11463.0,22.5,28.9,17.5,20.0,37.22,20.42,20.89,30.0,23.0
"14358 MONTROSE DETROIT, MI 48227 ",14358,MONTROSE,DETROIT,MI,48227,-83.20016,42.392622,26,163,542400,1,27.87,19100.0,23.0,29.93,17.75,20.0,37.22,20.42,20.89,30.0,22.5
"21671 GREYDALE CT DETROIT, MI 48219 ",21671,GREYDALE CT,DETROIT,MI,48219,-83.257121,42.43001,26,163,541000,3,29.94,53189.0,23.0,28.9,18.0,20.0,37.22,20.42,20.89,30.0,22.75
